CV_ID,Resume_Text,Skills,Education,Experience_Years,Job_ID,Job_Title,Required_Skills_For_The_Job,Job_Fit_Score,Outcome
cv0036,"Experienced professional skilled in Communication, Agile, Machine Learning, Deep Learning, SQL, Node.js.","Communication, Agile, Machine Learning, Deep Learning, SQL, Node.js",M.Sc,12,Job_387,Backend Developer,"Machine Learning, Node.js, React",0.8,Hired
cv0037,"Experienced professional skilled in Leadership, Agile, Project Management, React, SQL, Node.js.","Leadership, Agile, Project Management, React, SQL, Node.js",M.Tech,6,Job_345,Backend Developer,"Leadership, Java, Agile",0.64,Shortlisted
cv0038,"Experienced professional skilled in SQL, React, Agile, Communication, C++.","SQL, React, Agile, Communication, C++",MBA,6,Job_132,Backend Developer,"React, Node.js, Deep Learning, SQL",0.54,Shortlisted
cv0039,"Experienced professional skilled in SQL, Machine Learning, Java, Agile.","SQL, Machine Learning, Java, Agile",B.Sc,1,Job_133,Data Scientist,"Scrum, Deep Learning, Machine Learning, Node.js",0.19,Rejected
cv0040,"Experienced professional skilled in SQL, Deep Learning, Communication, Leadership, Python.","SQL, Deep Learning, Communication, Leadership, Python",B.Tech,10,Job_87,Frontend Developer,"Project Management, C++, Machine Learning",0.4,Rejected
cv0041,"Experienced professional skilled in Python, Agile, Java, Leadership, Communication, Deep Learning.","Python, Agile, Java, Leadership, Communication, Deep Learning",M.Sc,4,Job_300,Data Scientist,"React, Deep Learning, Agile",0.56,Shortlisted
cv0042,"Experienced professional skilled in SQL, Python, Agile.","SQL, Python, Agile",B.Tech,11,Job_182,Data Scientist,"SQL, Python, Agile",1,Hired
cv0043,"Experienced professional skilled in Python, Node.js, Machine Learning, Java, Agile, SQL.","Python, Node.js, Machine Learning, Java, Agile, SQL",B.Tech,12,Job_430,Frontend Developer,"Node.js, SQL, Agile, Project Management, Java",0.88,Hired
cv0044,"Experienced professional skilled in Project Management, C++, React, Deep Learning, Java.","Project Management, C++, React, Deep Learning, Java",MBA,12,Job_389,Machine Learning Engineer,"Java, C++, Agile, Python, Node.js",0.64,Shortlisted
cv0045,"Experienced professional skilled in Scrum, Communication, Python.","Scrum, Communication, Python",M.Tech,13,Job_25,Backend Developer,"Deep Learning, Project Management, Machine Learning, Java",0.4,Rejected
cv0046,"Experienced professional skilled in Deep Learning, Machine Learning, Leadership, Scrum.","Deep Learning, Machine Learning, Leadership, Scrum",M.Tech,14,Job_426,Project Manager,"Agile, Java, Python, Node.js",0.4,Rejected
cv0047,"Experienced professional skilled in Deep Learning, Agile, Leadership.","Deep Learning, Agile, Leadership",M.Sc,11,Job_389,Machine Learning Engineer,"Communication, Scrum, SQL, Leadership, React",0.52,Shortlisted
cv0048,"Experienced professional skilled in C++, Leadership, SQL, Communication, Python, Deep Learning.","C++, Leadership, SQL, Communication, Python, Deep Learning",B.Tech,13,Job_110,Frontend Developer,"React, Deep Learning, Java",0.6,Shortlisted
cv0049,"Experienced professional skilled in SQL, Python, Node.js.","SQL, Python, Node.js",B.Sc,13,Job_352,Data Scientist,"Communication, Deep Learning, Scrum, Machine Learning, Project Management",0.4,Rejected
cv0050,"Experienced professional skilled in React, Agile, SQL, Deep Learning, Node.js, C++.","React, Agile, SQL, Deep Learning, Node.js, C++",M.Tech,4,Job_130,Backend Developer,"C++, Project Management, Java, Python",0.31,Rejected
cv0051,"Experienced professional skilled in C++, Leadership, Machine Learning.","C++, Leadership, Machine Learning",M.Tech,10,Job_73,Machine Learning Engineer,"Scrum, Leadership, Communication",0.6,Shortlisted
cv0052,"Experienced professional skilled in SQL, Python, Scrum.","SQL, Python, Scrum",M.Tech,7,Job_266,Backend Developer,"Machine Learning, Agile",0.28,Rejected
cv0053,"Experienced professional skilled in Agile, Scrum, Machine Learning, Project Management, Node.js, Communication.","Agile, Scrum, Machine Learning, Project Management, Node.js, Communication",M.Sc,12,Job_494,Software Engineer,"Agile, Node.js",1,Hired
cv0054,"Experienced professional skilled in SQL, Agile, Node.js, Leadership, Java.","SQL, Agile, Node.js, Leadership, Java",B.Tech,10,Job_486,Data Scientist,"Communication, C++, Python, SQL, Project Management",0.52,Shortlisted
cv0055,"Experienced professional skilled in Agile, Node.js, Java, Machine Learning, Python.","Agile, Node.js, Java, Machine Learning, Python",M.Tech,3,Job_441,Data Scientist,"Leadership, SQL, Project Management, Agile",0.27,Rejected
cv0056,"Experienced professional skilled in Machine Learning, Python, Node.js, Communication.","Machine Learning, Python, Node.js, Communication",M.Sc,15,Job_360,Backend Developer,"Agile, Communication",0.7,Shortlisted
cv0057,"Experienced professional skilled in Communication, C++, Scrum, Java.","Communication, C++, Scrum, Java",M.Sc,14,Job_124,Frontend Developer,"Communication, Python, Node.js",0.6,Shortlisted
cv0058,"Experienced professional skilled in SQL, Deep Learning, Java, C++, Node.js.","SQL, Deep Learning, Java, C++, Node.js",M.Tech,11,Job_365,Machine Learning Engineer,"React, Python",0.4,Rejected
cv0059,"Experienced professional skilled in Java, Python, Leadership, Project Management, Communication.","Java, Python, Leadership, Project Management, Communication",M.Tech,10,Job_363,Frontend Developer,"Leadership, C++, Deep Learning",0.6,Shortlisted
cv0060,"Experienced professional skilled in Node.js, Java, React, Machine Learning, Python, SQL.","Node.js, Java, React, Machine Learning, Python, SQL",B.Tech,6,Job_449,Machine Learning Engineer,"Scrum, Deep Learning",0.24,Rejected
cv0061,"Experienced professional skilled in Python, Node.js, Project Management, Communication, Agile.","Python, Node.js, Project Management, Communication, Agile",M.Tech,14,Job_174,Project Manager,"Agile, Machine Learning, Leadership, Deep Learning, Scrum",0.52,Shortlisted
cv0062,"Experienced professional skilled in C++, Python, Communication.","C++, Python, Communication",M.Sc,5,Job_392,Frontend Developer,"Scrum, C++, Communication",0.6,Shortlisted
cv0063,"Experienced professional skilled in Leadership, Python, Project Management, Scrum, Java.","Leadership, Python, Project Management, Scrum, Java",M.Tech,6,Job_286,Frontend Developer,"SQL, Machine Learning, Agile, Communication, Java",0.36,Rejected
cv0064,"Experienced professional skilled in Java, SQL, Agile, Deep Learning, Leadership, Machine Learning.","Java, SQL, Agile, Deep Learning, Leadership, Machine Learning",MBA,12,Job_67,Project Manager,"Communication, Node.js",0.4,Rejected
cv0065,"Experienced professional skilled in C++, SQL, Scrum, Communication, Java.","C++, SQL, Scrum, Communication, Java",B.Sc,10,Job_400,Project Manager,"Agile, Deep Learning, Python, C++, React",0.52,Shortlisted
cv0066,"Experienced professional skilled in Agile, Machine Learning, Communication.","Agile, Machine Learning, Communication",M.Sc,3,Job_119,Machine Learning Engineer,"SQL, Leadership, Machine Learning, Project Management, Java",0.24,Rejected
cv0067,"Experienced professional skilled in Project Management, Python, Node.js.","Project Management, Python, Node.js",M.Tech,13,Job_390,Data Scientist,"Node.js, Python, Machine Learning",0.8,Hired
cv0068,"Experienced professional skilled in C++, React, Scrum, Communication, Project Management.","C++, React, Scrum, Communication, Project Management",MBA,12,Job_344,Backend Developer,"Java, C++, Deep Learning, React, Leadership",0.64,Shortlisted
cv0069,"Experienced professional skilled in Communication, Node.js, Machine Learning, Python, Scrum, Leadership.","Communication, Node.js, Machine Learning, Python, Scrum, Leadership",M.Sc,3,Job_70,Data Scientist,"Machine Learning, Java, Leadership, Scrum, SQL",0.48,Rejected
cv0070,"Experienced professional skilled in Leadership, Project Management, SQL, Python.","Leadership, Project Management, SQL, Python",M.Tech,13,Job_464,Machine Learning Engineer,"Machine Learning, Agile, Leadership",0.6,Shortlisted
cv0071,"Experienced professional skilled in Scrum, Agile, Deep Learning, SQL, Communication, Project Management.","Scrum, Agile, Deep Learning, SQL, Communication, Project Management",MBA,7,Job_409,Software Engineer,"Deep Learning, Project Management, React, Leadership, Scrum",0.64,Shortlisted
cv0072,"Experienced professional skilled in Node.js, Machine Learning, SQL, Java, Scrum.","Node.js, Machine Learning, SQL, Java, Scrum",M.Tech,3,Job_17,Project Manager,"Java, Agile",0.42,Rejected
cv0073,"Experienced professional skilled in Project Management, Java, Python, Node.js, C++.","Project Management, Java, Python, Node.js, C++",MBA,5,Job_150,Project Manager,"Leadership, SQL",0.2,Rejected
cv0074,"Experienced professional skilled in Agile, C++, Project Management, Scrum, React, SQL.","Agile, C++, Project Management, Scrum, React, SQL",B.Tech,6,Job_341,Project Manager,"Java, Scrum, Machine Learning, Node.js, Leadership",0.36,Rejected
cv0075,"Experienced professional skilled in Java, C++, Project Management.","Java, C++, Project Management",M.Sc,2,Job_314,Data Scientist,"Communication, Project Management, C++, Node.js",0.38,Rejected
cv0076,"Experienced professional skilled in Machine Learning, Scrum, SQL, Communication, Node.js.","Machine Learning, Scrum, SQL, Communication, Node.js",B.Sc,6,Job_360,Backend Developer,"C++, Leadership, Agile",0.24,Rejected
cv0077,"Experienced professional skilled in Agile, C++, Java, React, Python, Communication.","Agile, C++, Java, React, Python, Communication",M.Sc,1,Job_42,Frontend Developer,"SQL, Python",0.34,Rejected
cv0078,"Experienced professional skilled in Scrum, Machine Learning, Project Management, Python, Java.","Scrum, Machine Learning, Project Management, Python, Java",MBA,3,Job_157,Project Manager,"Node.js, SQL, React, Python, Scrum",0.36,Rejected
cv0079,"Experienced professional skilled in SQL, Agile, React.","SQL, Agile, React",M.Tech,10,Job_349,Backend Developer,"Python, React, Node.js",0.6,Shortlisted
cv0080,"Experienced professional skilled in C++, Node.js, Python, Scrum.","C++, Node.js, Python, Scrum",M.Sc,4,Job_439,Software Engineer,"Communication, Project Management",0.16,Rejected
cv0081,"Experienced professional skilled in C++, Project Management, Communication, Leadership, Python, React.","C++, Project Management, Communication, Leadership, Python, React",MBA,2,Job_187,Software Engineer,"SQL, Machine Learning, React, Leadership",0.38,Rejected
cv0082,"Experienced professional skilled in Leadership, SQL, React, Scrum.","Leadership, SQL, React, Scrum",MBA,6,Job_193,Backend Developer,"SQL, Communication, Agile, Machine Learning, Python",0.36,Rejected
cv0083,"Experienced professional skilled in Leadership, Project Management, Machine Learning, C++, Java.","Leadership, Project Management, Machine Learning, C++, Java",M.Sc,12,Job_308,Backend Developer,"Project Management, C++",1,Hired
cv0084,"Experienced professional skilled in Deep Learning, Python, C++, Scrum, Java, Communication.","Deep Learning, Python, C++, Scrum, Java, Communication",B.Tech,2,Job_432,Project Manager,"Scrum, Java",0.68,Shortlisted
cv0085,"Experienced professional skilled in Leadership, Java, C++, Project Management.","Leadership, Java, C++, Project Management",B.Sc,4,Job_216,Data Scientist,"Scrum, Agile",0.16,Rejected
cv0086,"Experienced professional skilled in React, Node.js, Deep Learning.","React, Node.js, Deep Learning",M.Tech,13,Job_454,Backend Developer,"Java, Agile",0.4,Rejected
cv0087,"Experienced professional skilled in React, Agile, Scrum, Node.js.","React, Agile, Scrum, Node.js",M.Tech,12,Job_363,Frontend Developer,"Deep Learning, Python, Project Management, Agile, Leadership",0.52,Shortlisted
cv0088,"Experienced professional skilled in Leadership, Machine Learning, Scrum, Agile, Deep Learning, Project Management.","Leadership, Machine Learning, Scrum, Agile, Deep Learning, Project Management",M.Tech,15,Job_132,Frontend Developer,"C++, Java, Scrum, React, Node.js",0.52,Shortlisted
cv0089,"Experienced professional skilled in Deep Learning, Machine Learning, Leadership, SQL, Project Management, Python.","Deep Learning, Machine Learning, Leadership, SQL, Project Management, Python",B.Tech,8,Job_87,Backend Developer,"Scrum, Node.js, Communication",0.32,Rejected
cv0090,"Experienced professional skilled in SQL, React, C++, Agile.","SQL, React, C++, Agile",B.Tech,12,Job_260,Software Engineer,"Node.js, Java, Leadership, Project Management, C++",0.52,Shortlisted
cv0091,"Experienced professional skilled in SQL, React, Python, C++, Node.js, Scrum.","SQL, React, Python, C++, Node.js, Scrum",B.Sc,15,Job_280,Project Manager,"Java, Leadership, Node.js, Project Management",0.55,Shortlisted
cv0092,"Experienced professional skilled in Python, React, Node.js.","Python, React, Node.js",B.Sc,5,Job_192,Data Scientist,"Python, React, Communication, Node.js, Agile",0.56,Shortlisted
cv0093,"Experienced professional skilled in React, Deep Learning, C++, Project Management.","React, Deep Learning, C++, Project Management",M.Tech,7,Job_6,Backend Developer,"Agile, React, Scrum",0.48,Rejected
cv0094,"Experienced professional skilled in Leadership, Agile, Deep Learning, Machine Learning, Communication, Java.","Leadership, Agile, Deep Learning, Machine Learning, Communication, Java",M.Tech,4,Job_259,Software Engineer,"Communication, Leadership, Machine Learning",0.76,Hired
cv0095,"Experienced professional skilled in Node.js, Project Management, React, SQL, Java, Scrum.","Node.js, Project Management, React, SQL, Java, Scrum",B.Tech,8,Job_280,Data Scientist,"Leadership, Deep Learning, Scrum",0.52,Shortlisted
cv0096,"Experienced professional skilled in Communication, Agile, Project Management, Scrum.","Communication, Agile, Project Management, Scrum",M.Tech,1,Job_226,Frontend Developer,"C++, Communication",0.34,Rejected
cv0097,"Experienced professional skilled in React, Project Management, Leadership, C++, Scrum.","React, Project Management, Leadership, C++, Scrum",M.Tech,15,Job_483,Frontend Developer,"Node.js, Communication, C++, Python, Leadership",0.64,Shortlisted
cv0098,"Experienced professional skilled in Python, SQL, Agile, Project Management, Scrum.","Python, SQL, Agile, Project Management, Scrum",B.Sc,1,Job_25,Software Engineer,"React, Java, SQL, Project Management, C++",0.28,Rejected
cv0099,"Experienced professional skilled in Scrum, Java, Machine Learning.","Scrum, Java, Machine Learning",B.Sc,5,Job_216,Machine Learning Engineer,"Leadership, Python",0.2,Rejected
cv0100,"Experienced professional skilled in React, Project Management, Agile.","React, Project Management, Agile",M.Sc,5,Job_233,Data Scientist,"Communication, Machine Learning",0.2,Rejected
cv0101,"Experienced professional skilled in Agile, Deep Learning, Java, React, C++.","Agile, Deep Learning, Java, React, C++",B.Tech,15,Job_386,Frontend Developer,"Scrum, Agile",0.7,Shortlisted
cv0102,"Experienced professional skilled in SQL, React, Java, Communication, Project Management.","SQL, React, Java, Communication, Project Management",M.Tech,8,Job_427,Machine Learning Engineer,"Scrum, SQL, Node.js, Agile",0.47,Rejected
cv0103,"Experienced professional skilled in Agile, Project Management, Scrum, Leadership, Python, React.","Agile, Project Management, Scrum, Leadership, Python, React",M.Tech,1,Job_239,Backend Developer,"Scrum, C++, SQL, React",0.34,Rejected
cv0104,"Experienced professional skilled in C++, Project Management, Leadership, Agile.","C++, Project Management, Leadership, Agile",MBA,2,Job_185,Machine Learning Engineer,"Scrum, Agile, Java, React",0.23,Rejected
cv0105,"Experienced professional skilled in Node.js, SQL, C++, Java, Scrum.","Node.js, SQL, C++, Java, Scrum",B.Tech,11,Job_274,Data Scientist,"Project Management, Deep Learning, Agile",0.4,Rejected
cv0106,"Experienced professional skilled in C++, Java, Communication.","C++, Java, Communication",B.Tech,7,Job_253,Machine Learning Engineer,"Deep Learning, React, C++, SQL",0.43,Rejected
cv0107,"Experienced professional skilled in SQL, React, Python.","SQL, React, Python",B.Tech,14,Job_388,Machine Learning Engineer,"Agile, SQL, Java, Machine Learning, Project Management",0.52,Shortlisted
cv0108,"Experienced professional skilled in Agile, C++, Scrum.","Agile, C++, Scrum",M.Sc,1,Job_371,Machine Learning Engineer,"Deep Learning, Python, Agile, Leadership",0.19,Rejected
cv0109,"Experienced professional skilled in Java, Scrum, Project Management, React.","Java, Scrum, Project Management, React",MBA,6,Job_30,Machine Learning Engineer,"Scrum, SQL, Project Management, Node.js",0.54,Shortlisted
cv0110,"Experienced professional skilled in Leadership, Communication, Project Management, React, Machine Learning.","Leadership, Communication, Project Management, React, Machine Learning",MBA,6,Job_434,Backend Developer,"Leadership, Agile, Scrum",0.44,Rejected
cv0111,"Experienced professional skilled in Communication, React, Project Management, Machine Learning.","Communication, React, Project Management, Machine Learning",B.Tech,5,Job_401,Frontend Developer,"Leadership, SQL, Machine Learning",0.4,Rejected
cv0112,"Experienced professional skilled in Leadership, Deep Learning, Project Management, Agile, Communication.","Leadership, Deep Learning, Project Management, Agile, Communication",B.Tech,13,Job_378,Frontend Developer,"SQL, Project Management, Deep Learning, C++, Leadership",0.76,Hired
cv0113,"Experienced professional skilled in Project Management, Java, Deep Learning, Agile.","Project Management, Java, Deep Learning, Agile",M.Sc,14,Job_221,Machine Learning Engineer,"Python, Communication, Scrum, Project Management, React",0.52,Shortlisted
cv0114,"Experienced professional skilled in Communication, React, Java, Machine Learning, Agile.","Communication, React, Java, Machine Learning, Agile",M.Sc,7,Job_414,Backend Developer,"Python, Machine Learning, Deep Learning, Communication",0.58,Shortlisted
cv0115,"Experienced professional skilled in Java, Deep Learning, Scrum.","Java, Deep Learning, Scrum",M.Tech,1,Job_472,Software Engineer,"Deep Learning, C++, Communication, Python",0.19,Rejected
cv0116,"Experienced professional skilled in Project Management, Node.js, Machine Learning, Scrum, Java, SQL.","Project Management, Node.js, Machine Learning, Scrum, Java, SQL",M.Tech,12,Job_165,Data Scientist,"Communication, Python, Deep Learning, Machine Learning, SQL",0.64,Shortlisted
cv0117,"Experienced professional skilled in Java, Scrum, Machine Learning, Project Management, Python.","Java, Scrum, Machine Learning, Project Management, Python",B.Sc,9,Job_140,Software Engineer,"Leadership, Scrum, Node.js",0.56,Shortlisted
cv0118,"Experienced professional skilled in Communication, Deep Learning, C++, React.","Communication, Deep Learning, C++, React",MBA,12,Job_212,Machine Learning Engineer,"Machine Learning, Node.js, React",0.6,Shortlisted
cv0119,"Experienced professional skilled in Java, Node.js, C++.","Java, Node.js, C++",M.Sc,8,Job_432,Data Scientist,"Scrum, Communication, Java",0.52,Shortlisted
cv0120,"Experienced professional skilled in C++, Scrum, Node.js, Leadership, Java, Agile.","C++, Scrum, Node.js, Leadership, Java, Agile",B.Tech,12,Job_1,Frontend Developer,"Machine Learning, SQL, Deep Learning, Project Management, React",0.4,Rejected
cv0121,"Experienced professional skilled in Agile, Python, Project Management.","Agile, Python, Project Management",MBA,8,Job_406,Frontend Developer,"Machine Learning, Deep Learning, Agile",0.52,Shortlisted
cv0122,"Experienced professional skilled in SQL, Python, Project Management, Communication, Node.js.","SQL, Python, Project Management, Communication, Node.js",M.Tech,10,Job_25,Data Scientist,"Python, Agile",0.7,Shortlisted
cv0123,"Experienced professional skilled in Agile, Project Management, SQL.","Agile, Project Management, SQL",B.Tech,5,Job_158,Data Scientist,"C++, Scrum, Leadership",0.2,Rejected
cv0124,"Experienced professional skilled in Project Management, Scrum, Communication, SQL, Leadership.","Project Management, Scrum, Communication, SQL, Leadership",M.Tech,8,Job_350,Software Engineer,"Machine Learning, Python, Leadership, Java, C++",0.44,Rejected
cv0125,"Experienced professional skilled in Communication, Machine Learning, Java, Scrum.","Communication, Machine Learning, Java, Scrum",M.Sc,2,Job_181,Project Manager,"Python, React, Project Management",0.08,Rejected
cv0126,"Experienced professional skilled in Leadership, Python, Scrum, Agile, Project Management, Machine Learning.","Leadership, Python, Scrum, Agile, Project Management, Machine Learning",M.Tech,4,Job_307,Machine Learning Engineer,"Leadership, Java",0.46,Rejected
cv0127,"Experienced professional skilled in Python, Leadership, Project Management.","Python, Leadership, Project Management",MBA,9,Job_302,Frontend Developer,"Agile, Java",0.36,Rejected
cv0128,"Experienced professional skilled in Scrum, Deep Learning, Java, Leadership.","Scrum, Deep Learning, Java, Leadership",B.Sc,13,Job_118,Machine Learning Engineer,"Scrum, Node.js",0.7,Shortlisted
cv0129,"Experienced professional skilled in Python, Node.js, Scrum, Communication.","Python, Node.js, Scrum, Communication",M.Tech,14,Job_164,Data Scientist,"Python, Project Management, Scrum, Agile",0.7,Shortlisted
cv0130,"Experienced professional skilled in Java, React, Project Management, C++, Machine Learning, Node.js.","Java, React, Project Management, C++, Machine Learning, Node.js",M.Sc,2,Job_434,Data Scientist,"Scrum, Communication, Java, Machine Learning, Agile",0.32,Rejected
cv0131,"Experienced professional skilled in React, C++, Scrum, Communication, Project Management.","React, C++, Scrum, Communication, Project Management",B.Sc,5,Job_91,Machine Learning Engineer,"Machine Learning, Leadership, Project Management, Scrum",0.5,Shortlisted
cv0132,"Experienced professional skilled in Deep Learning, Project Management, SQL, C++, Agile.","Deep Learning, Project Management, SQL, C++, Agile",B.Tech,5,Job_164,Software Engineer,"Java, Deep Learning, React, Python, Project Management",0.44,Rejected
cv0133,"Experienced professional skilled in Deep Learning, Leadership, Machine Learning, Agile, Python.","Deep Learning, Leadership, Machine Learning, Agile, Python",M.Tech,6,Job_127,Machine Learning Engineer,"Deep Learning, Agile",0.84,Hired
